,accX,accY,accZ,gyroX,gyroY,gyroZ
91,0.096802,-0.039185,0.980469,-1.243591,-11.291504,-2.227783
92,0.079956,-0.059692,0.977478,-0.900269,-11.528015,-0.518799
93,0.076477,-0.064331,0.9729,-0.25177,-11.962891,-0.946045
94,0.098755,-0.067444,0.96344,0.320435,-11.787415,-1.296997
95,0.104248,-0.065247,0.960327,0.991821,-11.09314,-1.251221
96,0.1026,-0.065247,0.962036,1.739502,-10.154724,-0.907898
97,0.098389,-0.061829,0.964417,2.418518,-9.33075,-0.671387
98,0.093018,-0.055664,0.969666,2.929688,-8.865356,-0.305176
99,0.090088,-0.04895,0.974731,3.196716,-8.842468,0.358582
100,0.086853,-0.03894,0.978821,2.952576,-9.796143,2.960205
101,0.090332,-0.027161,0.983154,2.5177,-10.490417,4.798889
102,0.098267,-0.027649,0.982117,1.968384,-10.948181,6.80542
103,0.10437,-0.026978,0.977722,1.335144,-11.268616,8.895874
104,0.110229,-0.028809,0.97876,0.686646,-11.230469,10.848999
105,0.114258,-0.030334,0.974304,-0.12207,-10.391235,14.312744
106,0.126282,-0.036255,0.966614,-0.427246,-9.70459,15.975952
107,0.128784,-0.042419,0.967163,-0.617981,-8.598328,17.303467
108,0.131409,-0.042786,0.963135,-0.740051,-7.202148,18.409729
109,0.134399,-0.045227,0.959351,-1.075745,-5.53894,19.393921
110,0.138428,-0.055725,0.957214,-1.358032,-1.464844,19.676208
111,0.143982,-0.075562,0.952332,-1.289368,1.365662,18.52417
112,0.134949,-0.08313,0.9505,-1.266479,4.493713,16.723633
113,0.122437,-0.080627,0.951233,-1.052856,7.316589,14.923096
114,0.108215,-0.076538,0.95636,-0.747681,9.208679,13.572693
115,0.092285,-0.073181,0.964783,-0.137329,10.2005,12.924194
116,0.078064,-0.067505,0.973145,0.671387,10.070801,13.122559
117,0.064575,-0.059082,0.982788,2.761841,6.43158,16.578674
118,0.053284,-0.059387,0.985779,3.65448,3.143311,19.592285
119,0.059875,-0.074524,0.978027,4.66156,0.160217,21.949768
120,0.057495,-0.074585,0.972534,5.973816,-1.876831,23.101807
121,0.055847,-0.064453,0.972778,7.164001,-3.829956,24.085999
122,0.083008,-0.069946,0.976318,8.68988,-7.995605,26.535034
123,0.098938,-0.073792,0.973328,9.109497,-8.094788,25.901794
124,0.109985,-0.078064,0.965454,9.124756,-6.813049,23.429871
125,0.118591,-0.079346,0.958618,8.560181,-4.562378,19.752502
126,0.1203,-0.076782,0.95929,5.996704,1.63269,10.07843
127,0.095215,-0.0495,0.975098,4.325867,4.119873,5.821228
128,0.080017,-0.035034,0.990845,2.5177,5.111694,3.219604
129,0.068237,-0.031433,1.001221,0.930786,4.768372,2.494812
130,0.062378,-0.035645,0.999939,-0.442505,3.288269,2.76947
131,0.068481,-0.053894,0.990784,-1.312256,1.51825,3.372192
132,0.075256,-0.074036,0.971863,-1.197815,0.091553,1.541138
133,0.082397,-0.088257,0.963074,-0.297546,0.366211,-0.282288
134,0.108948,-0.087891,0.948914,1.052856,0.610352,-0.785828
135,0.110352,-0.090576,0.948547,2.76947,1.167297,-0.656128
136,0.107666,-0.069946,0.957642,7.217407,4.40979,-0.518799
137,0.107422,-0.062134,0.963318,7.93457,5.531311,-0.541687
138,0.105164,-0.053162,0.968506,8.216858,6.576538,-0.480652
139,0.107666,-0.050293,0.968201,7.568359,8.605957,-0.831604
140,0.109314,-0.050537,0.972778,7.156372,10.131836,-1.243591
141,0.11261,-0.061707,0.96698,6.736755,12.023926,-2.342224
142,0.106079,-0.063599,0.966675,6.55365,14.259338,-4.173279
143,0.094666,-0.063049,0.966614,6.408691,16.235352,-6.088257
144,0.08313,-0.061584,0.970581,6.393433,17.669678,-7.972717
145,0.070618,-0.061584,0.978333,6.591797,18.348694,-11.33728
146,0.028625,-0.039734,0.984131,6.645203,17.570496,-12.329102
